Institute,Academic Program Name,Seat Type,Gender,Opening Rank,Closing Rank
Indian Institute of Technology Kharagpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),183,206
Indian Institute of Technology Kharagpur,"Economics (4 Years, Bachelor of Science)",ST,Gender-Neutral,637,818
Indian Institute of Technology Kharagpur,"Economics (4 Years, Bachelor of Science)",ST,Female-only (including Supernumerary),1444,1444
Indian Institute of Technology Kharagpur,"Electrical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,225,257
Indian Institute of Technology Kharagpur,"Electrical Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),551,618
Indian Institute of Technology Kharagpur,"Electronics and Electrical Communication Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,110,219
Indian Institute of Technology Kharagpur,"Electronics and Electrical Communication Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),372,448
Indian Institute of Technology Kharagpur,"Exploration Geophysics (4 Years, Bachelor of Science)",ST,Gender-Neutral,1483,1497
Indian Institute of Technology Kharagpur,"Exploration Geophysics (4 Years, Bachelor of Science)",ST,Female-only (including Supernumerary),457P,457P
Indian Institute of Technology Kharagpur,"Industrial and Systems Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,567,840
Indian Institute of Technology Kharagpur,"Industrial and Systems Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),1200,1200
Indian Institute of Technology Kharagpur,"Instrumentation Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,505,583
Indian Institute of Technology Kharagpur,"Instrumentation Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),1540,1540
Indian Institute of Technology Kharagpur,"Manufacturing Science and Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,952,1034
Indian Institute of Technology Kharagpur,"Manufacturing Science and Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),1677,1677
Indian Institute of Technology Kharagpur,"Mathematics and Computing (4 Years, Bachelor of Science)",ST,Gender-Neutral,161,267
Indian Institute of Technology Kharagpur,"Mathematics and Computing (4 Years, Bachelor of Science)",ST,Female-only (including Supernumerary),415,415
Indian Institute of Technology Kharagpur,"Mechanical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,381,540
Indian Institute of Technology Kharagpur,"Mechanical Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),708,888
Indian Institute of Technology Kharagpur,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,839,930
Indian Institute of Technology Kharagpur,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),1622,1622
Indian Institute of Technology Kharagpur,"Mining Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,933,1085
Indian Institute of Technology Kharagpur,"Mining Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),69P,184P
Indian Institute of Technology Kharagpur,"Ocean Engineering and Naval Architecture (4 Years, Bachelor of Technology)",ST,Gender-Neutral,1128,1192
Indian Institute of Technology Kharagpur,"Ocean Engineering and Naval Architecture (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),294P,294P
Indian Institute of Technology Kharagpur,"Physics (4 Years, Bachelor of Science)",ST,Gender-Neutral,1126,1336
Indian Institute of Technology Kharagpur,"Physics (4 Years, Bachelor of Science)",ST,Female-only (including Supernumerary),641P,641P
Indian Institute of Technology Hyderabad,"Artificial Intelligence (4 Years, Bachelor of Technology)",ST,Gender-Neutral,88,89
Indian Institute of Technology Hyderabad,"Biomedical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,1040,1197
Indian Institute of Technology Hyderabad,"Biotechnology and Bioinformatics (4 Years, Bachelor of Technology)",ST,Gender-Neutral,1074,1099
Indian Institute of Technology Hyderabad,"Chemical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,646,783
Indian Institute of Technology Hyderabad,"Chemical Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),1328,1328
Indian Institute of Technology Hyderabad,"Civil Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,640,697
Indian Institute of Technology Hyderabad,"Civil Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),1302,1302
Indian Institute of Technology Hyderabad,"Computational Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,305,441
Indian Institute of Technology Hyderabad,"Computational Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),348,348
Indian Institute of Technology Hyderabad,"Computer Science and Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,53,82
Indian Institute of Technology Hyderabad,"Computer Science and Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),107,107
Indian Institute of Technology Hyderabad,"Electrical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,276,292
Indian Institute of Technology Hyderabad,"Electrical Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),545,545
Indian Institute of Technology Hyderabad,"Electrical Engineering (IC Design and Technology) (4 Years, Bachelor of Technology)",ST,Gender-Neutral,277,373
Indian Institute of Technology Hyderabad,"Engineering Physics (4 Years, Bachelor of Technology)",ST,Gender-Neutral,1024,1066
Indian Institute of Technology Hyderabad,"Engineering Science (4 Years, Bachelor of Technology)",ST,Gender-Neutral,498,592
Indian Institute of Technology Hyderabad,"Engineering Science (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),1028,1028
Indian Institute of Technology Hyderabad,"Industrial Chemistry (4 Years, Bachelor of Technology)",ST,Gender-Neutral,1177,1240
Indian Institute of Technology Hyderabad,"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,817,945
Indian Institute of Technology Hyderabad,"Mathematics and Computing (4 Years, Bachelor of Technology)",ST,Gender-Neutral,178,178
Indian Institute of Technology Hyderabad,"Mechanical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,387,570
Indian Institute of Technology Hyderabad,"Mechanical Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),881,881
Indian Institute of Technology Jodhpur,"Artificial Intelligence and Data Science (4 Years, Bachelor of Technology)",ST,Gender-Neutral,450,589
Indian Institute of Technology Jodhpur,"Artificial Intelligence and Data Science (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),863,863
Indian Institute of Technology Jodhpur,"Bio Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,1250,1452
Indian Institute of Technology Jodhpur,"Bio Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),1049P,1049P
Indian Institute of Technology Jodhpur,"Chemical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,995,1120
Indian Institute of Technology Jodhpur,"Chemical Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),707P,707P
Indian Institute of Technology Jodhpur,"Chemistry with Specialization (4 Years, Bachelor of Science)",ST,Gender-Neutral,1553,1553
Indian Institute of Technology Jodhpur,"Chemistry with Specialization (4 Years, Bachelor of Science)",ST,Female-only (including Supernumerary),1059P,1059P
Indian Institute of Technology Jodhpur,"Civil and Infrastructure Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,901,980
Indian Institute of Technology Jodhpur,"Civil and Infrastructure Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),1799,1799
Indian Institute of Technology Jodhpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,244,396
Indian Institute of Technology Jodhpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),327,327
Indian Institute of Technology Jodhpur,"Electrical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,791,875
Indian Institute of Technology Jodhpur,"Electrical Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),1505,1560
Indian Institute of Technology Jodhpur,"Materials Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,1346,1419
Indian Institute of Technology Jodhpur,"Materials Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),1026P,1026P
Indian Institute of Technology Jodhpur,"Mechanical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,968,1071
Indian Institute of Technology Jodhpur,"Mechanical Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),198P,332P
Indian Institute of Technology Jodhpur,"Physics with Specialization (4 Years, Bachelor of Science)",ST,Gender-Neutral,1510,1510
Indian Institute of Technology Jodhpur,"Physics with Specialization (4 Years, Bachelor of Science)",ST,Female-only (including Supernumerary),1032P,1032P
Indian Institute of Technology Kanpur,"Aerospace Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,146,681
Indian Institute of Technology Kanpur,"Aerospace Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),768,768
Indian Institute of Technology Kanpur,"Biological Sciences and Bioengineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,829,1168
Indian Institute of Technology Kanpur,"Biological Sciences and Bioengineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),1790,1790
Indian Institute of Technology Kanpur,"Chemical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,547,684
Indian Institute of Technology Kanpur,"Chemical Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),1043,1062
Indian Institute of Technology Kanpur,"Chemistry (4 Years, Bachelor of Science)",ST,Gender-Neutral,1348,1434
Indian Institute of Technology Kanpur,"Chemistry (4 Years, Bachelor of Science)",ST,Female-only (including Supernumerary),250P,250P
Indian Institute of Technology Kanpur,"Civil Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,290,482
Indian Institute of Technology Kanpur,"Civil Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),668,837
Indian Institute of Technology Kanpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,30,54
Indian Institute of Technology Kanpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),127,141
Indian Institute of Technology Kanpur,"Earth Sciences (4 Years, Bachelor of Science)",ST,Gender-Neutral,1280,1369
Indian Institute of Technology Kanpur,"Earth Sciences (4 Years, Bachelor of Science)",ST,Female-only (including Supernumerary),702P,702P
Indian Institute of Technology Kanpur,"Economics (4 Years, Bachelor of Science)",ST,Gender-Neutral,521,725
Indian Institute of Technology Kanpur,"Economics (4 Years, Bachelor of Science)",ST,Female-only (including Supernumerary),1645,1645
Indian Institute of Technology Kanpur,"Electrical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,98,203
Indian Institute of Technology Kanpur,"Electrical Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),414,518
Indian Institute of Technology Kanpur,"Materials Science and Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,859,1080
Indian Institute of Technology Kanpur,"Materials Science and Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),1412,1412
Indian Institute of Technology Kanpur,"Mathematics and Scientific Computing (4 Years, Bachelor of Science)",ST,Gender-Neutral,182,343
Indian Institute of Technology Kanpur,"Mathematics and Scientific Computing (4 Years, Bachelor of Science)",ST,Female-only (including Supernumerary),632,632
Indian Institute of Technology Kanpur,"Mechanical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,426,509
Indian Institute of Technology Kanpur,"Mechanical Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),582,776
Indian Institute of Technology Kanpur,"Physics (4 Years, Bachelor of Science)",ST,Gender-Neutral,1176,1277
Indian Institute of Technology Kanpur,"Physics (4 Years, Bachelor of Science)",ST,Female-only (including Supernumerary),1765,1765
