Institute,Academic Program Name,Seat Type,Gender,Opening Rank,Closing Rank
Indian Institute of Technology Kharagpur,"Economics (4 Years, Bachelor of Science)",OBC-NCL,Gender-Neutral,1941,2736
Indian Institute of Technology Kharagpur,"Economics (4 Years, Bachelor of Science)",OBC-NCL,Female-only (including Supernumerary),5105,7383
Indian Institute of Technology Kharagpur,"Electrical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,719,944
Indian Institute of Technology Kharagpur,"Electrical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),1657,2057
Indian Institute of Technology Kharagpur,"Electronics and Electrical Communication Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,234,687
Indian Institute of Technology Kharagpur,"Electronics and Electrical Communication Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),977,1672
Indian Institute of Technology Kharagpur,"Exploration Geophysics (4 Years, Bachelor of Science)",OBC-NCL,Gender-Neutral,4299,5104
Indian Institute of Technology Kharagpur,"Exploration Geophysics (4 Years, Bachelor of Science)",OBC-NCL,Female-only (including Supernumerary),9049,9049
Indian Institute of Technology Kharagpur,"Industrial and Systems Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,1112,2307
Indian Institute of Technology Kharagpur,"Industrial and Systems Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),3669,5032
Indian Institute of Technology Kharagpur,"Instrumentation Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,1103,1302
Indian Institute of Technology Kharagpur,"Instrumentation Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),3385,3448
Indian Institute of Technology Kharagpur,"Manufacturing Science and Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,2322,3292
Indian Institute of Technology Kharagpur,"Manufacturing Science and Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),5944,6497
Indian Institute of Technology Kharagpur,"Mathematics and Computing (4 Years, Bachelor of Science)",OBC-NCL,Gender-Neutral,504,740
Indian Institute of Technology Kharagpur,"Mathematics and Computing (4 Years, Bachelor of Science)",OBC-NCL,Female-only (including Supernumerary),1478,1883
Indian Institute of Technology Kharagpur,"Mechanical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,1137,1721
Indian Institute of Technology Kharagpur,"Mechanical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),3638,4493
Indian Institute of Technology Kharagpur,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,2394,3378
Indian Institute of Technology Kharagpur,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),6844,7423
Indian Institute of Technology Kharagpur,"Mining Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,3031,4015
Indian Institute of Technology Kharagpur,"Mining Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),8100,8519
Indian Institute of Technology Kharagpur,"Ocean Engineering and Naval Architecture (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,3313,4208
Indian Institute of Technology Kharagpur,"Ocean Engineering and Naval Architecture (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),7362,8540
Indian Institute of Technology Kharagpur,"Physics (4 Years, Bachelor of Science)",OBC-NCL,Gender-Neutral,3604,4608
Indian Institute of Technology Kharagpur,"Physics (4 Years, Bachelor of Science)",OBC-NCL,Female-only (including Supernumerary),7850,8776
Indian Institute of Technology Hyderabad,"Artificial Intelligence (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,295,399
Indian Institute of Technology Hyderabad,"Artificial Intelligence (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),562,798
Indian Institute of Technology Hyderabad,"Biomedical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,3613,4087
Indian Institute of Technology Hyderabad,"Biomedical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),4554,5782
Indian Institute of Technology Hyderabad,"Biotechnology and Bioinformatics (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,3056,4058
Indian Institute of Technology Hyderabad,"Biotechnology and Bioinformatics (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),6673,6673
Indian Institute of Technology Hyderabad,"Chemical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,2152,2755
Indian Institute of Technology Hyderabad,"Chemical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),4306,4578
Indian Institute of Technology Hyderabad,"Civil Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,2830,3334
Indian Institute of Technology Hyderabad,"Civil Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),5762,6223
Indian Institute of Technology Hyderabad,"Computational Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,638,991
Indian Institute of Technology Hyderabad,"Computational Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),1547,1547
Indian Institute of Technology Hyderabad,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,123,302
Indian Institute of Technology Hyderabad,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),605,865
Indian Institute of Technology Hyderabad,"Electrical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,606,1021
Indian Institute of Technology Hyderabad,"Electrical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),1260,2009
Indian Institute of Technology Hyderabad,"Electrical Engineering (IC Design and Technology) (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,557,920
Indian Institute of Technology Hyderabad,"Electrical Engineering (IC Design and Technology) (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),2076,2076
Indian Institute of Technology Hyderabad,"Engineering Physics (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,2435,2856
Indian Institute of Technology Hyderabad,"Engineering Physics (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),3086,6654
Indian Institute of Technology Hyderabad,"Engineering Science (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,1166,1984
Indian Institute of Technology Hyderabad,"Engineering Science (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),2543,4046
Indian Institute of Technology Hyderabad,"Industrial Chemistry (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,2923,4097
Indian Institute of Technology Hyderabad,"Industrial Chemistry (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),7981,7981
Indian Institute of Technology Hyderabad,"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,2847,3481
Indian Institute of Technology Hyderabad,"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),7549,7564
Indian Institute of Technology Hyderabad,"Mathematics and Computing (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,419,480
Indian Institute of Technology Hyderabad,"Mathematics and Computing (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),918,918
Indian Institute of Technology Hyderabad,"Mechanical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,1765,2121
Indian Institute of Technology Hyderabad,"Mechanical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),2745,4746
Indian Institute of Technology Jodhpur,"Artificial Intelligence and Data Science (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,1341,1722
Indian Institute of Technology Jodhpur,"Artificial Intelligence and Data Science (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),4169,4502
Indian Institute of Technology Jodhpur,"Bio Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,4754,5752
Indian Institute of Technology Jodhpur,"Bio Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),9141,9141
Indian Institute of Technology Jodhpur,"Chemical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,4259,4613
Indian Institute of Technology Jodhpur,"Chemical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),8291,8539
Indian Institute of Technology Jodhpur,"Chemistry with Specialization (4 Years, Bachelor of Science)",OBC-NCL,Gender-Neutral,5713,6013
Indian Institute of Technology Jodhpur,"Civil and Infrastructure Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,4108,4937
Indian Institute of Technology Jodhpur,"Civil and Infrastructure Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),9273,9273
